label,tweet_text
,RT @CBCOlympics: INFOGRAPHIC: Which countries have won hockey medals?  #CBCOlympics
pos,Filipinos are mighty proud of @MichaelOlympian for his  #WinterOlympics (lone) campaign! #Sochi2014
,RT @GovernorDeal: Olympic silver medalist Elana Meyers dropped by the Capitol today to chat with Gov. Deal. #Sochi2014 @eamslider24 
pos,RT @CBCOlympics: LIVE: @jaseyjaysb finishes his run with a 30.06 #CBCOlympics #snowboarding
,Letterman: Russia ended the Sochi Olympics with 33 medals. But only six were stolen by Putin.
neg,As soon as the Olympics ended  200 activists  including @navalny were arrested in Moscow [by @versharma]
neg,At least we found out what @ovi8 was doing during the Sochi Olympics because he sure didn't show for Russia.. #FOMOH Verizon 
,"RT @cucluvsic: Korean reporter that went to Sochi said Yuna looked strong in front of camera,but cried so much backstage and it delayed the"
,Brittney Cason Reveals Terrifying Sochi Trafficking Scam Details
pos,"RT @EdmontonOilers: ""Not a bad week and a half, I must say. Gold medal in Sochi and now practicing with the Oilers."" - @ShannonSzabados po"
neg,RT @dchesnokov: After the Sochi fiasco Bilyaletdinov was let go as the head coach of Team Russia by the Russian Hockey Federation.
neg,Russia Says Its Sochi Bathroom Spy Cameras Show No Plumbing Problems #sochi #plumbing
neg,"RT @carson_lecours: Carey Price's ""lower body injury"" was definitely not caused by the Olympics but by the after party #ifyouknowwhatimean"
neg,Sochi 2014 Closing Ceremony Rings Fail Funny Reaction Good job Russia!.. #russia #asia
neg,"How was Sochi the death of the Wings? Mediocre goaltending and bad defense has killed this team, not Sochi"
neg,Dmitry Medvedev asleep at Opening Ceremony? #sochiproblems #sochi2014 #olympics
pos,Holy crap what a shift by this line. So glad Randlyle's been slotting Clarkson up there because he worked hard during the Sochi break.
neg,RT @JonnyFootbalI: I got fucking hammered and somehow ended up in Sochi with the Bulgarians. WTF!!!
neg,#ParalympicsWinterGames start today! It's sad that they aren't as noticeable as the Winter Olympics...
,Sad to hear Backes and Oshie lost some memorabilia from #Sochi. I hope it wasn't their Participation Ribbons. #StLouisBlues
,RT @HouseCracka: Obama moved US Warships to Black Sea for Olympics just weeks ago. Weird. 
pos,RT @ByJoeFleming: Good thing there is no checking allowed @USATsportsImage) #SochiSMG
neg,RT @ECUSquirrels: If Russia would have made their hotels nicer for Sochi than MAYBE THIS SHIT WOULDN'T HAPPEN.
pos,RT @JeremyBieber: Big win! See ya 7am gold @rebelo#canadian #olympics
neg,RT @M_Ross16: Really sad to see the price increase for athletes to attend the paralympics in Sochi. One athlete said it cost him an 
pos,"Sad that I won't get to see @CharlieaWhite and @Meryl_Davis compete in Worlds, but after the awesomeness of Sochi I can hardly blame them!"
